Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF,48,0,0.018925567,0.040195894,0,0.049574936,0.28622826,0,0.065653293,0.038521065,0,0,0,0,0.242012777,0.029309506,0,0,0.400284109,0,0.022275224,0,0,0,0,0.583510391,42.69463336,25.39299632,1.28169957,27.09612088
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF,0,0.000388235,0.000388235,0,0,0,0.000388235,0,0.000388235,0.000388235,0.000388235,0,0.000388235,0,0.000388235,0,0.000388235,0.000388235,0,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0,0,28,0
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF,16,0.0135087,0.015723241,0,0,0,0.244817513,0,0.108401784,0.08979964,0.009522527,0,0.272388549,0,0.041190464,0,0.000885816,0.02856758,0,0.000885816,0.021259594,0.112387958,0.003986174,0.011847795,0.192886525,0.080720021,2.83805248,52.8594928,49.69036575,8.75910855
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF,32,0.02562315,0.016030247,0,0,0,0.254338168,0,0.102492602,0.060208092,0.005175119,0,0.149447341,0,0.010224016,0,0.001009779,0.087977024,0,0.000757334,0.025118261,0.096686371,0.001893336,0.01148624,0.205994983,0.102492602,2.77227656,51.50138268,48.06335267,10.72094492
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF,48,0.03223895,0.01752361,0,0,0,0.324748446,0,0.145805425,0.063803915,0.004156241,0,0.071667073,0,0.026734739,0,0.001235639,0.109185572,0,0.000898647,0.03089098,0.118509032,0.001235639,0.014266016,0.209384678,0.1169364,3.19497576,50.37010624,48.20212151,11.85325311
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF,0,0,0,0.00055,0,0,0,0,0,0.00055,0.00055,0,0.00055,0,0.00055,0.00055,0.00055,0.00055,0,0,0.00055,0,0.00055,0,0.00055,0.00055,0,0,28,0
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF,16,0,0,0.027613014,0,0,0,0,0,0.163253526,0.009967625,0,0.358430389,0,0.020608737,0.004310324,0.001077581,0.13119549,0,0,0.035021383,0,0.005522603,0,0.386447496,0.12607698,1.12429864,53.59144236,39.45163389,7.87109259
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF,32,0,0,0.038683229,0,0,0,0,0,0.156845312,0.012410319,0,0.15961783,0,0.053073919,0.006601234,0.000792148,0.214540095,0,0,0.048981154,0,0.002772518,0,0.359107112,0.233815697,0.7934276,51.39340304,45.71303057,9.83286864
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF,48,0,0,0.049358036,0,0,0,0,0,0.119311512,0.008640615,0,0.138604941,0,0.021660721,0.01313847,0.001065281,0.271410016,0,0,0.072320767,0,0.003077479,0,0.296148216,0.292360549,0.98530664,52.34810444,48.20825414,12.60873849
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG,0,0.00055,0.00055,0,0.00055,0,0,0.00055,0,0.00055,0.00055,0,0,0,0.00055,0.00055,0.00055,0.00055,0.00055,0,0.00055,0,0,0,0,0,0,0,28,0
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG,16,1.186166369,0.026788119,0,0.385979343,0,0,0.513871006,0,0.09879919,0.009217417,0,0,0,0.08266871,0,0.001152177,0.12904384,0.110609006,0,0.038597934,0,0,0,0,0,14.5200264,48.8072422,25.82883666,31.83840765
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG,32,0.591110171,0.020942526,0,0.251605278,0,0,0.479318378,0,0.092029128,0.00973385,0,0,0,0.213554773,0.001179861,0.000294965,0.366936653,0.448052071,0,0.035690784,0,0,0,0,0,14.92650208,43.7177472,24.53021794,38.11791192
