Experiments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,volume,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10,feed
Richness_5_3,130.0,0.0,0.0,0.24549451119055687,0.13936314192828397,0.0,0.0,0.0,0.0,0.0,0.0957090242459255,0.0,0.07449851232664871,0.0,0.0,0.0,0.0,0.0,0.0,0.04305671772904774,0.0,9.99996185766851,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_4,0.0,0.0,0.0,0.009535802010212105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009904674517399919,0.0,0.009113200489747652,0.0,0.00939881470275683,0.0,0.010105719814458625,0.0,0.0,0.0,7.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_4,26.0,0.0,0.0,0.09054666673313365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10989284400571696,0.0,0.06756563110023772,0.0,0.05704088822024025,0.0,0.08826647676828019,0.0,0.0,0.0,8.07995617403721,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_4,52.0,0.0,0.0,0.20133239421344076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24755208419953312,0.0,0.13524623372745082,0.0,0.11150667263162607,0.0,0.15901767447932147,0.0,0.0,0.0,8.919956174037214,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_4,78.0,0.0,0.0,0.17608317300774476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19317198086016518,0.0,0.11741013159496072,0.0,0.10220624595656376,0.0,0.1265821880788639,0.0,0.0,0.0,9.519956174037212,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_4,104.0,0.0,0.0,0.1548024843575391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777185899972735,0.0,0.0952140108593049,0.0,0.09661133851174777,0.0,0.1068710325895531,0.0,0.0,0.0,9.879956174037213,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_4,130.0,0.0,0.0,0.11893651421081453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12828465140246112,0.0,0.0808213383378702,0.0,0.0795380120044887,0.0,0.09167337754189185,0.0,0.0,0.0,9.999956174037212,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_5,0.0,0.009274282505299047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010554970807862319,0.0,0.010695187997411648,0.00912534528122256,0.0,0.0,0.0,0.0,0.010872575428722301,0.0,0.0,0.0,7.000000000000001,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_5,26.0,0.12661956205173655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08938125445134569,0.0,0.11094321131190127,0.060449766864637884,0.0,0.0,0.0,0.0,0.08486502690673475,0.0,0.0,0.0,8.079961625803072,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_5,52.0,0.2608549641949731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026563055309471,0.0,0.21404198371355618,0.08309072219184457,0.0,0.0,0.0,0.0,0.1324958569541824,0.0,0.0,0.0,8.919961625803074,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_5,78.0,0.22587196216213834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23680324727992597,0.0,0.1752511961042764,0.07188783113361256,0.0,0.0,0.0,0.0,0.11640888478037602,0.0,0.0,0.0,9.519961625803074,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
