Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5,DTL 6,DTL 7,DTL 8,DTL 9,DTL 10,DTL 11,DTL 12,DTL 13,DTL 14,DTL 15,DTL 16,DTL 17,DTL 18,DTL 19,DTL 20,DTL 21,DTL 22,DTL 23,DTL 24,DTL 25
20,4.251336258696153,4.213985504298955,4.269929624607665,4.097136714808752,4.028055824350664,3.9438843738244285,3.856043757699929,3.8231477878947815,3.6879281930163277,4.094394428750823,3.916574238822628,4.176690010943281,3.627585517298799,3.771233569328718,3.943145210055396,4.1383982061831555,4.29474875023771,4.420241696603887,4.544396602814642,4.740783915056397,4.896952724365106,4.9730379155979,5.042451754857645,5.00921325073577,4.361654719401606,4.381827984968283
21,4.431257265994647,4.630426366091087,5.111862109667147,6.062569955924655,5.393852073926615,6.113527209507048,7.0944791968873515,8.2630369935577,9.052357754657699,8.570036485676003,8.358566668103679,8.386458240948468,8.212371337567554,8.11162287096354,8.030859325021655,8.017872096993198,7.755015833802234,7.541061077851422,7.857708010498545,6.528624252652888,5.871027021812296,6.020922497764299,5.510412914235123,5.4275743779559935,4.879477724088879,4.924152170324147
22,4.6038596164473535,4.386501045080025,4.380575240409214,5.280441217526201,7.392872470509829,10.019137959511976,11.471685416430637,11.762860085037483,8.469232422562344,8.17602740519426,7.258498635070627,6.90863674678734,6.768340590702141,6.945093940871527,7.54218386451467,7.538162975168522,7.815989092309195,7.724002232679576,7.9825479718969845,7.187858713364344,7.296786884079673,6.683777538893377,6.708953384032952,6.748495784882658,6.482032432150735,6.496291753276251
23,4.877008365597376,6.924082919244707,8.781331429561863,9.645506933083308,10.282623322618306,7.079516567843331,6.827759492090953,6.175565945390435,7.216780662768345,7.33975497072997,7.97418995179571,8.035322283016251,8.456479829558303,6.954539923268301,7.1939564433741,7.5138576723776405,6.814312096407462,6.538603883391149,6.570396986610237,6.415202683962912,6.2663440337951775,6.340982490215769,6.432515044119376,6.3615581336733085,6.439193688651182,6.421453003945365
24,5.89592908835048,4.088482206422848,3.805491518465674,4.008952160176302,3.9467796748283837,3.9921858154449152,3.7786920773887345,3.522062179647002,3.7071245820610157,4.0059369414989305,4.151929450754454,4.241768273009545,4.305196418387041,3.685978653773688,3.7578733550076504,3.817505061369568,3.9062707640428305,4.004958566474103,4.033081875658445,4.16805201870716,4.332149976800924,4.395158044829608,4.469712939220056,4.456875598485652,4.490237461533448,4.516805036907659
25,5.1401794232626115,6.471793130891756,7.192403131066174,6.721786352356714,7.4934761853987615,7.676713236568363,7.482917941792783,8.6559406351084,9.828339926555195,8.045471537015576,7.389312922419823,7.612266370965971,6.968058048958027,7.250675303532541,7.5720186098938385,7.506646401888755,6.208246117109951,6.69296770278584,7.022903313608001,7.143483422328509,7.414603961368318,7.523913331281382,7.714666859209838,5.656882116741669,5.74017491948668,5.632447013630115
26,4.411871117523546,4.252250542350129,4.1518935942224715,4.142605394313341,3.9951993409751814,3.9723890159484556,4.287430980219868,3.702299808428175,3.5285220771308623,3.5600954529304314,3.6318210330357408,3.625539944433885,3.5284085980391255,3.631776605311469,3.788648075562906,4.070375354244233,4.318486337678911,4.4558118013697054,4.601244199378471,4.674844349289285,4.901745384210576,5.109677865281165,4.707509963026068,4.652545951139022,4.736965545286022,4.789284643522036
27,3.5473787644573886,6.115868484804074,4.610801864892128,5.5737926376438995,5.128842612520519,5.958351062108324,6.08374693849144,6.759630782538992,6.549018342841476,7.036199652890098,6.751439052246136,6.838488067266055,6.8777068934961605,7.142048618275204,6.748325421322097,7.003696083652075,7.217509383436077,7.348031639419861,7.298152635313844,7.493224221899181,7.4569761346301275,6.2560143738609995,6.274543090584438,6.2045125237668755,6.02079714694662,6.055306425637811
28,4.62336472564493,4.370544346236694,4.324538412723141,4.349744778951481,4.190175783784374,4.1685457606388985,3.60856236666338,3.6641733748123575,3.5471426847222087,3.408468387464352,3.36471550085282,3.108784277972415,3.188421253053526,3.3669704554891444,3.483344235769364,3.5462362934865936,3.6560749904158083,3.750507115400234,3.855202133347098,3.9807563529863916,4.046200023189998,3.7389733541107963,3.854128195226822,3.930418996909686,3.972802643916817,4.087897484106969
29,6.241594902608332,8.461395169544726,6.958478965767177,7.291256971967266,9.350721440153631,9.45646515812485,8.508069769119608,8.650089437400684,6.392469475885008,7.029304599459188,7.033753004637605,7.5227749630874765,7.884096885311413,7.315643803938458,7.627475094412633,6.5442182056411315,6.713910866294363,6.327383431278995,6.082589669348927,6.132815191513085,6.210056227535413,6.306626219719549,6.307778162156836,6.106099345088557,6.119473655577939,6.043755567506689
